id_paciente,nome,cpf,telefone
1,Ana Beatriz Costa,11122233344,83999887766
2,Bruno Alves Dias,22233344455,83988776655
3,Carlos Eduardo Lima,33344455566,83977665544
4,Daniela Farias Gomes,44455566677,83966554433
5,Eduardo Martins Neto,55566677788,83955443322
6,Fernanda Oliveira Pinto,66677788899,83944332211
7,Gustavo Pereira Ramos,77788899900,83933221100
8,Helena Queiroz Silva,88899900011,83922110099
9,Igor Rocha Teixeira,99900011122,83911009988
10,Julia Souza Viana,00011122233,8390099887711
11,Napoleao,98765432100,88877766600
12,Anderson Carlos,66655544433,98765432100
